Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2017.09.21 04:20
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,WHOLEYEAR ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2160.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,64141.15,104.87,117.48
,Net Site Energy,64141.15,104.87,117.48
,Total Source Energy,229171.40,374.69,419.74
,Net Source Energy,229171.40,374.69,419.74


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,611.63
,Net Conditioned Building Area,545.99
,Unconditioned Building Area,65.64


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,58333.90,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,206.71,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2917.17,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,61.71,0.00,0.00,0.00,0.00,0.00
,Pumps,2621.66,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,5807.26,0.00,0.00,0.00,58333.90,0.00
Note: District heat appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Total Facility,1.337,-0.335,220.625,-0.040,6.245,0.744,10.502,4.188,33.992,0.000,30.391,0.000,-56.186,-7.355,-68.156,-175.951


Peak Cooling Sensible Heat Gain Components

,,Time of Peak,HVAC Input Sensible Air Heating [W],HVAC Input Sensible Air Cooling [W],HVAC Input Heated Surface Heating [W],HVAC Input Cooled Surface Cooling [W],People Sensible Heat Addition [W],Lights Sensible Heat Addition [W],Equipment Sensible Heat Addition [W],Window Heat Addition [W],Interzone Air Transfer Heat Addition [W],Infiltration Heat Addition [W],Opaque Surface Conduction and Other Heat Addition [W],Equipment Sensible Heat Removal [W],Window Heat Removal [W],Interzone Air Transfer Heat Removal [W],Infiltration Heat Removal [W],Opaque Surface Conduction and Other Heat Removal [W]
,KITCHEN,27-MAR-15:00,0.00,0.00,0.00,-33.93,0.00,0.00,269.62,0.00,152.67,0.00,36.41,0.00,-0.00,0.00,-424.76,0.00
,STAIRNCOM,24-MAR-16:00,0.00,0.00,0.00,-261.18,65.40,0.00,0.00,539.12,0.00,0.00,0.00,0.00,-0.00,-105.60,-137.17,-100.56
,OFF-YUJIE,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OFF-BAPP,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OFF-WEILI,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OFF-ZHIANG,24-MAR-16:00,0.00,-204.26,104.23,0.00,42.30,0.00,522.00,11.74,0.00,0.00,0.00,0.00,-0.00,-30.69,-45.28,-400.03
,OFF-NINA,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,OFF-VOLKER,24-MAR-16:40,0.00,0.00,0.00,-354.51,16.80,0.00,81.56,645.38,0.00,0.00,0.00,0.00,-0.00,-120.06,-28.92,-240.25
,OFF-ERICA,24-MAR-16:40,0.00,0.00,0.00,-424.29,16.17,0.00,81.56,651.20,0.00,0.00,0.00,0.00,-0.00,-141.31,-29.77,-153.55
,OFF-JAMES,24-MAR-16:20,0.00,0.00,0.00,-260.29,18.97,0.00,80.09,652.35,12.93,0.00,0.00,0.00,-0.00,0.00,-25.20,-478.85
,OFF-VIVIAN,24-FEB-17:00,0.00,0.00,0.00,-164.13,39.38,0.00,156.60,464.96,9.89,0.00,0.00,0.00,-0.00,0.00,-20.24,-486.45
,OFF-CHENLU,24-FEB-17:00,0.00,-228.61,0.00,-174.84,149.47,0.00,522.00,458.93,0.00,0.00,0.00,0.00,-0.00,-116.51,-21.34,-589.10
,OFF-OMER,24-FEB-17:00,0.00,0.00,0.00,-169.36,38.80,0.00,156.60,453.82,0.00,0.00,0.00,0.00,-0.00,-29.11,-20.43,-430.32
,SMALLCONF,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,LARGECONF1,24-MAR-15:00,0.00,-45.71,0.00,0.00,557.03,0.00,504.73,562.19,0.00,0.00,0.00,0.00,-0.00,-72.30,-97.37,-1408.58
,OFF-ANNIE,27-MAR-15:30,0.00,-5.78,0.00,0.00,39.63,0.00,0.00,0.00,271.67,0.00,0.00,0.00,-7.83,0.00,-148.70,-149.00
,LARGECONF0,24-MAR-17:00,0.00,-56.29,0.00,-271.18,255.78,0.00,252.75,660.30,52.64,0.00,0.00,0.00,-0.00,0.00,-281.46,-612.54
,OFF-SUREKHA,24-MAR-16:00,0.00,-12.24,0.00,0.00,39.93,0.00,163.26,17.45,254.99,0.00,0.00,0.00,-0.00,0.00,-297.14,-166.23
,UNDERFLOOR_VOID_SPACE,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS2,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS3,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS0,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS4,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN0,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN3,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN2,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,CORRINOR,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,BAS,24-MAR-16:00,0.00,0.00,0.00,-107.58,0.00,0.00,543.78,0.00,0.00,0.00,22.27,0.00,-2.30,-375.37,-80.79,0.00
,CORRISOU,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total Facility,24-MAR-17:00,0.00,-583.94,489.07,-1613.49,1124.84,751.68,2415.51,6850.46,1512.66,0.00,0.00,0.00,-81.83,-702.68,-2324.88,-7837.41


Peak Heating Sensible Heat Gain Components

,,Time of Peak,HVAC Input Sensible Air Heating [W],HVAC Input Sensible Air Cooling [W],HVAC Input Heated Surface Heating [W],HVAC Input Cooled Surface Cooling [W],People Sensible Heat Addition [W],Lights Sensible Heat Addition [W],Equipment Sensible Heat Addition [W],Window Heat Addition [W],Interzone Air Transfer Heat Addition [W],Infiltration Heat Addition [W],Opaque Surface Conduction and Other Heat Addition [W],Equipment Sensible Heat Removal [W],Window Heat Removal [W],Interzone Air Transfer Heat Removal [W],Infiltration Heat Removal [W],Opaque Surface Conduction and Other Heat Removal [W]
,KITCHEN,08-JAN-24:00,0.00,0.00,2144.69,0.00,0.00,0.00,13.48,0.00,1044.72,0.00,0.00,0.00,-0.00,0.00,-1428.77,-1774.13
,STAIRNCOM,08-JAN-17:00,0.00,0.00,3294.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-718.02,-67.29,-590.25,-1918.61
,OFF-YUJIE,08-JAN-17:00,0.00,0.00,1592.94,0.00,13.72,0.00,26.70,0.00,91.23,0.00,0.00,0.00,-312.62,0.00,-217.91,-1194.07
,OFF-BAPP,06-JAN-18:00,0.00,0.00,1591.06,0.00,8.82,0.00,7.83,0.00,445.08,0.00,0.00,0.00,-353.67,0.00,-521.79,-1177.34
,OFF-WEILI,06-JAN-18:00,0.00,0.00,1587.31,0.00,8.75,0.00,7.83,0.00,162.19,0.00,0.00,0.00,-359.57,0.00,-221.24,-1185.26
,OFF-ZHIANG,09-JAN-14:00,1305.09,0.00,1486.02,0.00,4.44,0.00,26.10,0.00,0.00,0.00,0.00,0.00,-236.28,-954.34,-202.43,-1428.60
,OFF-NINA,08-JAN-17:00,0.00,0.00,2770.55,0.00,4.37,0.00,7.67,0.00,21.00,0.00,0.00,0.00,-558.26,0.00,-207.09,-2038.24
,OFF-VOLKER,07-JAN-24:00,0.00,0.00,3434.99,0.00,4.30,0.00,8.16,0.00,0.00,0.00,0.00,0.00,-418.57,-258.99,-142.85,-2627.03
,OFF-ERICA,07-JAN-24:00,0.00,0.00,3649.80,0.00,4.27,0.00,8.16,0.00,0.00,0.00,0.00,0.00,-415.37,-146.63,-143.51,-2956.72
,OFF-JAMES,07-JAN-21:00,0.00,0.00,1615.65,0.00,4.40,0.00,8.01,0.00,98.16,0.00,0.00,0.00,-381.61,0.00,-130.56,-1214.05
,OFF-VIVIAN,07-JAN-21:00,0.00,0.00,1616.31,0.00,4.44,0.00,7.83,0.00,118.03,0.00,0.00,0.00,-368.49,0.00,-126.76,-1251.37
,OFF-CHENLU,08-JAN-10:00,1119.08,0.00,1532.55,0.00,17.99,0.00,26.10,0.00,0.00,0.00,0.00,0.00,-348.23,-681.40,-140.10,-1525.99
,OFF-OMER,07-JAN-21:00,0.00,0.00,1604.96,0.00,4.42,0.00,7.83,0.00,66.83,0.00,0.00,0.00,-374.76,0.00,-127.24,-1182.04
,SMALLCONF,07-JAN-21:00,0.00,0.00,2817.74,0.00,0.00,0.00,0.00,0.00,7.99,0.00,0.00,0.00,-671.16,0.00,-267.70,-1886.87
,LARGECONF1,07-JAN-21:00,0.00,0.00,4978.98,0.00,0.00,0.00,0.00,0.00,159.95,0.00,0.00,0.00,-1371.24,0.00,-451.06,-3316.63
,OFF-ANNIE,07-JAN-21:00,0.00,0.00,2839.51,0.00,4.61,0.00,0.00,0.00,210.38,0.00,0.00,0.00,-684.42,0.00,-513.57,-1856.50
,LARGECONF0,07-JAN-21:00,0.00,0.00,1637.48,0.00,0.00,0.00,0.00,0.00,1450.14,0.00,0.00,0.00,-379.27,0.00,-1409.95,-1298.40
,OFF-SUREKHA,08-JAN-17:00,0.00,0.00,1603.40,0.00,4.70,0.00,8.16,0.00,1135.42,0.00,0.00,0.00,-306.97,0.00,-1325.05,-1119.66
,UNDERFLOOR_VOID_SPACE,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS2,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS3,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS0,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFS4,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN0,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN3,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN1,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ROOFN2,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,CORRINOR,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,BAS,07-JAN-24:00,0.00,0.00,3446.92,0.00,0.00,0.00,27.19,0.00,0.00,0.00,0.00,0.00,-395.29,-249.08,-380.12,-2449.62
,CORRISOU,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Total Facility,07-JAN-21:00,1242.52,0.00,45240.24,0.00,88.73,0.00,191.04,0.00,6427.85,0.00,0.00,0.00,-11993.84,-1451.14,-13211.93,-26533.48


----------------------------------------------------------------------------------------------------
REPORT:,LEED Summary
FOR:,Entire Facility
Sec1.1A-General Information

,,Data
,Weather File,WHOLEYEAR ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205
,HDD and CDD data source,Weather File Stat
,Total gross floor area [m2],611.63
,Principal Heating Source,District Heat


EAp2-1. Space Usage Type

,,Space Area [m2],Regularly Occupied Area [m2],Unconditioned Area [m2],Typical Hours/Week in Operation [hr/wk]
,KITCHEN,35.95,35.95,0.00,20.22
,STAIRNCOM,57.70,57.70,0.00,60.67
,OFF-YUJIE,21.36,21.36,0.00,168.00
,OFF-BAPP,20.88,20.88,0.00,168.00
,OFF-WEILI,20.88,20.88,0.00,168.00
,OFF-ZHIANG,20.88,20.88,0.00,168.00
,OFF-NINA,20.45,20.45,0.00,168.00
,OFF-VOLKER,21.75,21.75,0.00,168.00
,OFF-ERICA,21.75,21.75,0.00,168.00
,OFF-JAMES,21.36,21.36,0.00,168.00
,OFF-VIVIAN,20.88,20.88,0.00,168.00
,OFF-CHENLU,20.88,20.88,0.00,168.00
,OFF-OMER,20.88,20.88,0.00,168.00
,SMALLCONF,20.45,20.45,0.00,43.63
,LARGECONF1,67.30,67.30,0.00,43.63
,OFF-ANNIE,21.73,21.73,0.00,168.00
,LARGECONF0,67.40,67.40,0.00,43.63
,OFF-SUREKHA,21.77,21.77,0.00,168.00
,UNDERFLOOR_VOID_SPACE,611.63,0.00,611.63,0.00
,ROOFS1,20.98,0.00,20.98,0.00
,ROOFS2,0.15,0.00,0.15,0.00
,ROOFS3,0.15,0.00,0.15,0.00
,ROOFS0,0.15,0.00,0.15,0.00
,ROOFS4,0.15,0.00,0.15,0.00
,ROOFN0,5.19,0.00,5.19,0.00
,ROOFN3,0.15,0.00,0.15,0.00
,ROOFN1,15.19,0.00,15.19,0.00
,ROOFN2,0.17,0.00,0.17,0.00
,CORRINOR,19.30,0.00,19.30,60.67
,BAS,21.75,21.75,0.00,0.00
,CORRISOU,46.34,0.00,46.34,60.67
,Totals,611.63,545.99,719.54,


EAp2-2. Advisory Messages

,,Data
,Number of hours heating loads not met,122.00
,Number of hours cooling loads not met,1537.00
,Number of hours not met,1659.00


EAp2-3. Energy Type Summary

,,Utility Rate,Virtual Rate [$/unit energy],Units of Energy,Units of Demand
,None,,,,


EAp2-4/5. Performance Rating Method Compliance

,,Electric Energy Use [GJ],Electric Demand [W],Natural Gas Energy Use [GJ],Natural Gas Demand [W],Additional Energy Use [GJ],Additional Demand [W]
,Interior Lighting,0.74,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Space Heating,0.00,0.00,0.00,0.00,210.00,103058.75
,Space Cooling,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,9.44,1238.96,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Fans-Interior,0.22,28.57,0.00,0.00,0.00,0.00
,Fans-Parking Garage,0.00,0.00,0.00,0.00,0.00,0.00
,Service Water Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Receptacle Equipment,10.50,4831.02,0.00,0.00,0.00,0.00
,Interior Lighting (process),0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Cooking,0.00,0.00,0.00,0.00,0.00,0.00
,Industrial Process,0.00,0.00,0.00,0.00,0.00,0.00
,Elevators and Escalators,0.00,0.00,0.00,0.00,0.00,0.00
,Total Line,20.91,,0.00,,210.00,


EAp2-6. Energy Use Summary

,,Process Subtotal [GJ],Total Energy Use [GJ]
,Electricity,10.50,20.91
,Natural Gas,0.00,0.00
,Additional,0.00,210.00
,Total,10.50,230.91


EAp2-7. Energy Cost Summary

,,Process Subtotal [$],Total Energy Cost [$]
,Electricity,0.00,
,Natural Gas,0.00,
,Additional,0.00,
,Total,0.00,
Process energy cost based on ratio of process to total energy.


L-1. Renewable Energy Source Summary

,,Rated Capacity [kW],Annual Energy Generated [GJ]
,Photovoltaic,0.00,0.00
,Wind,0.00,0.00


EAp2-17a. Energy Use Intensity - Electricity

,,Electricty [MJ/m2]
,Interior Lighting,1.22
,Space Heating,0.00
,Space Cooling,0.00
,Fans-Interior,0.36
,Service Water Heating,0.00
,Receptacle Equipment,17.17
,Miscellaneous,15.43
,Subtotal,34.18


EAp2-17b. Energy Use Intensity - Natural Gas

,,Natural Gas [MJ/m2]
,Space Heating,0.00
,Service Water Heating,0.00
,Miscellaneous,0.00
,Subtotal,0.00


EAp2-17c. Energy Use Intensity - Additional

,,Additional [MJ/m2]
,Miscellaneous,0.00
,Subtotal,0.00


EAp2-18. End Use Percentage

,,Percent [%]
,Interior Lighting,0.32
,Space Heating,90.95
,Space Cooling,0.00
,Fans-Interior,0.10
,Service Water Heating,0.00
,Receptacle Equipment,4.55
,Miscellaneous,4.09


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
ZoneHVAC:LowTemperatureRadiant:ConstantFlow

,,User-Specified Maximum Water Flow [m3/s],User-Specified Hydronic Tubing Length [m]
,KITCHEN CHILLED CEILING,0.000065,28.00
,BAS MULLION,0.000065,100.00
,BAS CHILLED CEILING,0.000065,28.00
,STAIRNCOM MULLION,0.000130,200.00
,OFF-YUJIE MULLION,0.000065,100.00
,OFF-BAPP MULLION,0.000065,100.00
,OFF-WEILI MULLION,0.000065,100.00
,OFF-ZHIANG MULLION,0.000065,100.00
,OFF-NINA MULLION,0.000130,200.00
,OFF-VOLKER MULLION,0.000065,100.00
,OFF-VOLKER CHILLED CEILING,0.000065,28.00
,OFF-ERICA MULLION,0.000065,100.00
,OFF-ERICA CHILLED CEILING,0.000065,28.00
,OFF-JAMES MULLION,0.000065,100.00
,OFF-VIVIAN MULLION,0.000065,100.00
,OFF-CHENLU MULLION,0.000065,100.00
,OFF-OMER MULLION,0.000065,100.00
,SMALLCONF MULLION,0.000130,200.00
,LARGECONF1 MULLION,0.000195,300.00
,OFF-ANNIE MULLION,0.000130,200.00
,LARGECONF0 MULLION,0.000065,100.00
,OFF-SUREKHA MULLION,0.000065,100.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:Uncontrolled

,,User-Specified Maximum Air Flow Rate [m3/s]
,OFF-YUJIE DIRECT AIR,0.127500
,OFF-BAPP DIRECT AIR,0.127500
,OFF-WEILI DIRECT AIR,0.127500
,OFF-NINA DIRECT AIR,0.127500
,OFF-JAMES DIRECT AIR,0.127500
,OFF-VIVIAN DIRECT AIR,0.127500
,OFF-OMER DIRECT AIR,0.127500
,SMALLCONF DIRECT AIR,0.127500
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


ZoneHVAC:FourPipeFanCoil

,,User-Specified Maximum Supply Air Flow Rate [m3/s],User-Specified Maximum Hot Water Flow [m3/s],User-Specified Maximum Cold Water Flow [m3/s]
,OFF-ZHIANG FAN COIL UNIT,0.100000,0.000130,0.000130
,OFF-CHENLU FAN COIL UNIT,0.100000,0.000130,0.000130
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,User-Specified Maximum Flow Rate [m3/s]
,OFF-ZHIANG FAN COIL UNIT SUPPLY FAN,0.100000
,OFF-CHENLU FAN COIL UNIT SUPPLY FAN,0.100000
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:ConstantVolume:CooledBeam

,,Coefficient of Induction Kin
,LARGECONF1 COOLED BEAM,0.000000
,OFF-ANNIE COOLED BEAM,0.000000
,LARGECONF0 COOLED BEAM,0.000000
,OFF-SUREKHA COOLED BEAM,0.000000
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:ConstantVolume

,,User-Specified Maximum Flow Rate [m3/s]
,DOAS AHU EXTRACT FAN,1.06
,DOAS AHU SUPPLY FAN,1.06
,DESICCANT REGEN FAN,1.06
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,User-Specified Rated Air Flow Rate [m3/s],User-Specified Gross Rated Total Cooling Capacity [W],User-Specified Gross Rated Sensible Heat Ratio
,DOAS AHU UNITARY COOLING COIL DX COOLING COIL,1.06,25000.00,0.600000
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:Gas

,,User-Specified Nominal Capacity [W]
,DOAS DESICCANT REGEN BURNER COIL,22000.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


PlantLoop

,,Plant Loop Volume [m3]
,TEMPHWLOOP,13.50
,TEMPCHWLOOP,13.50
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Pump:ConstantSpeed

,,Rated Power Consumption [W]
,TEMPHWLOOP SUPPLY PUMP,56.98
,TEMPCHWLOOP SUPPLY PUMP,56.98
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


DistrictHeating

,,Design Size Nominal Capacity [W],User-Specified Nominal Capacity [W]
,CMU DISTRICTHEATING,81409.98,400000.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


DistrictCooling

,,Design Size Nominal Capacity [W],User-Specified Nominal Capacity [W]
,CMU DISTRICTCOOLING,42019.03,100000.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


RoomAirSettings:UnderFloorAirDistributionInterior

,,Design effective area of diffuser,Angle between diffuser slots and the vertical,Power per plume [W]
,OFF-YUJIE,0.007500,28.00,215.39
,OFF-BAPP,0.007500,28.00,135.64
,OFF-WEILI,0.007500,28.00,135.64
,OFF-NINA,0.007500,28.00,195.67
,OFF-JAMES,0.007500,28.00,201.15
,OFF-VIVIAN,0.007500,28.00,198.28
,OFF-OMER,0.007500,28.00,198.28
,SMALLCONF,0.007500,28.00,73.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


----------------------------------------------------------------------------------------------------
REPORT:,Surface Shadowing Summary
FOR:,Entire Facility
Surfaces (Walls, Roofs, etc) that may be Shadowed by Other Surfaces

,,Possible Shadow Receivers
,IW - EASTSHADING1 - SURFACE 1 (1),IW - MMCHROOF - SURFACE 5 (37) | Mir-IW - MMCHROOF - SURFACE 6 (38) | IW - MMCHROOF - SURFACE 7 (39) | Mir-IW - MMCHROOF - SURFACE 8 (40) |
,Mir-IW - EASTSHADING1 - SURFACE 1 (1),IW - MMCHROOF - SURFACE 5 (37) | Mir-IW - MMCHROOF - SURFACE 6 (38) | IW - MMCHROOF - SURFACE 7 (39) | Mir-IW - MMCHROOF - SURFACE 8 (40) | ROOFS1_ROOF_3_0_0 | ROOFS1_ROOF_4_0_0 | ROOFS2_ROOF_3_0_0 | ROOFS2_ROOF_4_0_0 | ROOFS3_ROOF_3_0_0 | ROOFS3_ROOF_4_0_0 | ROOFS0_ROOF_3_0_0 | ROOFS0_ROOF_4_0_0 | ROOFS4_ROOF_3_0_0 | ROOFS4_ROOF_4_0_0 | ROOFN0_ROOF_2_0_0 | ROOFN0_ROOF_3_0_0 | ROOFN0_ROOF_4_0_0 | ROOFN3_ROOF_2_0_0 | ROOFN3_ROOF_3_0_0 | ROOFN3_ROOF_4_0_0 | ROOFN1_ROOF_2_0_0 | ROOFN1_ROOF_3_0_0 | ROOFN1_ROOF_4_0_0 | ROOFN2_ROOF_2_0_0 | ROOFN2_ROOF_3_0_0 | ROOFN2_ROOF_4_0_0 |
,IW - EASTSHADING0 - SURFACE 1 (2),IW - MMCHROOF - SURFACE 5 (37) | Mir-IW - MMCHROOF - SURFACE 6 (38) | IW - MMCHROOF - SURFACE 7 (39) | Mir-IW - MMCHROOF - SURFACE 8 (40) |
,Mir-IW - EASTSHADING0 - SURFACE 1 (2),IW - MMCHROOF - SURFACE 5 (37) | Mir-IW - MMCHROOF - SURFACE 6 (38) | IW - MMCHROOF - SURFACE 7 (39) | Mir-IW - MMCHROOF - SURFACE 8 (40) | ROOFS1_ROOF_1_0_0 | ROOFS1_ROOF_3_0_0 | ROOFS1_ROOF_4_0_0 | ROOFS2_ROOF_1_0_0 | ROOFS2_ROOF_3_0_0 | ROOFS2_ROOF_4_0_0 | ROOFS3_ROOF_1_0_0 | ROOFS3_ROOF_3_0_0 | ROOFS3_ROOF_4_0_0 | ROOFS0_ROOF_3_0_0 | ROOFS0_ROOF_4_0_0 | ROOFS4_ROOF_2_0_0 | ROOFS4_ROOF_3_0_0 | ROOFN0_ROOF_2_0_0 | ROOFN3_ROOF_2_0_0 | ROOFN1_ROOF_2_0_0 | ROOFN2_ROOF_2_0_0 |
,IW - SOUTHSHADING0 - SURFACE 1 (3),IW - MMCHROOF - SURFACE 5 (37) | Mir-IW - MMCHROOF - SURFACE 6 (38) | IW - MMCHROOF - SURFACE 7 (39) | Mir-IW - MMCHROOF - SURFACE 8 (40) |
