Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2017.09.20 23:03
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,WHOLEYEAR ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2160.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,48862.37,79.89,89.49
,Net Site Energy,48862.37,79.89,89.49
,Total Source Energy,174392.40,285.13,319.41
,Net Source Energy,174392.40,285.13,319.41


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,611.63
,Net Conditioned Building Area,545.99
,Unconditioned Building Area,65.64


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,44014.83,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,206.71,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2917.17,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,1723.66,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,4847.54,0.00,0.00,0.00,44014.83,0.00
Note: District heat appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,STAIRNCOM_WALL_11_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.03,0.29,0.05,1.36,1.36,1.793,0.288,0.252,5.333,5.333,No,STAIRNCOM_WALL_11_0_0,195.00,90.00,S
,STAIRNCOM_WALL_13_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,2.17,0.33,0.10,2.60,2.60,1.793,0.288,0.252,5.333,5.333,Yes,STAIRNCOM_WALL_13_0_0,195.00,90.00,S
,STAIRNCOM_WALL_13_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.98,0.28,0.05,1.31,1.31,1.793,0.288,0.252,5.333,5.333,No,STAIRNCOM_WALL_13_0_0,195.00,90.00,S
,STAIRNCOM_WALL_15_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.59,0.21,0.04,0.84,0.84,1.793,0.288,0.252,5.333,5.333,No,STAIRNCOM_WALL_15_0_0,195.00,90.00,S
,STAIRNCOM_WALL_16_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.60,0.21,0.04,0.85,0.85,1.793,0.288,0.252,5.333,5.333,No,STAIRNCOM_WALL_16_0_0,105.00,90.00,E
,STAIRNCOM_WALL_16_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.02,0.22,0.10,1.35,1.35,1.793,0.288,0.252,5.333,5.333,Yes,STAIRNCOM_WALL_16_0_0,105.00,90.00,E
,STAIRNCOM_WALL_16_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.46,0.17,0.05,0.68,0.68,1.793,0.288,0.252,5.333,5.333,No,STAIRNCOM_WALL_16_0_0,105.00,90.00,E
,OFF-YUJIE_WALL_2_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.09,0.22,0.00,1.31,1.31,1.793,0.288,0.252,5.333,0.000,No,OFF-YUJIE_WALL_2_0_0,105.00,90.00,E
,OFF-YUJIE_WALL_2_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.13,0.22,0.00,1.35,1.35,1.793,0.288,0.252,5.333,0.000,Yes,OFF-YUJIE_WALL_2_0_0,105.00,90.00,E
,OFF-YUJIE_WALL_2_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.51,0.17,0.00,0.67,0.67,1.793,0.288,0.252,5.333,0.000,No,OFF-YUJIE_WALL_2_0_0,105.00,90.00,E
,OFF-YUJIE_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,2.24,0.32,0.15,2.71,2.71,1.793,0.288,0.252,5.333,5.333,No,OFF-YUJIE_WALL_4_0_0,105.00,90.00,E
,OFF-YUJIE_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.55,0.27,0.10,1.93,1.93,1.793,0.288,0.252,5.333,5.333,Yes,OFF-YUJIE_WALL_8_0_0,105.00,90.00,E
,OFF-YUJIE_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.69,0.22,0.05,0.96,0.96,1.793,0.288,0.252,5.333,5.333,No,OFF-YUJIE_WALL_8_0_0,105.00,90.00,E
,OFF-BAPP_WALL_2_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.09,0.22,0.00,1.31,1.31,1.793,0.288,0.252,5.333,0.000,No,OFF-BAPP_WALL_2_0_0,105.00,90.00,E
,OFF-BAPP_WALL_2_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.13,0.22,0.00,1.35,1.35,1.793,0.288,0.252,5.333,0.000,Yes,OFF-BAPP_WALL_2_0_0,105.00,90.00,E
,OFF-BAPP_WALL_2_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.51,0.17,0.00,0.67,0.67,1.793,0.288,0.252,5.333,0.000,No,OFF-BAPP_WALL_2_0_0,105.00,90.00,E
,OFF-BAPP_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.43,0.26,0.10,1.79,1.79,1.793,0.288,0.252,5.333,5.333,Yes,OFF-BAPP_WALL_4_0_0,105.00,90.00,E
,OFF-BAPP_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.64,0.20,0.05,0.89,0.89,1.793,0.288,0.252,5.333,5.333,No,OFF-BAPP_WALL_4_0_0,105.00,90.00,E
,OFF-BAPP_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.45,0.26,0.10,1.82,1.82,1.793,0.288,0.252,5.333,5.333,Yes,OFF-BAPP_WALL_8_0_0,105.00,90.00,E
,OFF-BAPP_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.65,0.21,0.05,0.90,0.90,1.793,0.288,0.252,5.333,5.333,No,OFF-BAPP_WALL_8_0_0,105.00,90.00,E
,OFF-WEILI_WALL_2_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.99,0.22,0.10,1.31,1.31,1.793,0.288,0.252,5.333,5.333,No,OFF-WEILI_WALL_2_0_0,105.00,90.00,E
,OFF-WEILI_WALL_2_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.13,0.22,0.00,1.35,1.35,1.793,0.288,0.252,5.333,0.000,Yes,OFF-WEILI_WALL_2_0_0,105.00,90.00,E
,OFF-WEILI_WALL_2_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.46,0.17,0.05,0.67,0.67,1.793,0.288,0.252,5.333,5.333,No,OFF-WEILI_WALL_2_0_0,105.00,90.00,E
,OFF-WEILI_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.43,0.26,0.10,1.79,1.79,1.793,0.288,0.252,5.333,5.333,Yes,OFF-WEILI_WALL_4_0_0,105.00,90.00,E
,OFF-WEILI_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.64,0.20,0.05,0.89,0.89,1.793,0.288,0.252,5.333,5.333,No,OFF-WEILI_WALL_4_0_0,105.00,90.00,E
,OFF-WEILI_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.45,0.26,0.10,1.82,1.82,1.793,0.288,0.252,5.333,5.333,Yes,OFF-WEILI_WALL_8_0_0,105.00,90.00,E
,OFF-WEILI_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.65,0.21,0.05,0.90,0.90,1.793,0.288,0.252,5.333,5.333,No,OFF-WEILI_WALL_8_0_0,105.00,90.00,E
,OFF-ZHIANG_WALL_2_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.09,0.22,0.00,1.31,1.31,1.793,0.288,0.252,5.333,0.000,Yes,OFF-ZHIANG_WALL_2_0_0,105.00,90.00,E
,OFF-ZHIANG_WALL_2_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.13,0.22,0.00,1.35,1.35,1.793,0.288,0.252,5.333,0.000,Yes,OFF-ZHIANG_WALL_2_0_0,105.00,90.00,E
,OFF-ZHIANG_WALL_2_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.51,0.17,0.00,0.67,0.67,1.793,0.288,0.252,5.333,0.000,Yes,OFF-ZHIANG_WALL_2_0_0,105.00,90.00,E
,OFF-ZHIANG_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.43,0.26,0.10,1.79,1.79,1.793,0.288,0.252,5.333,5.333,Yes,OFF-ZHIANG_WALL_4_0_0,105.00,90.00,E
,OFF-ZHIANG_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.64,0.20,0.05,0.89,0.89,1.793,0.288,0.252,5.333,5.333,No,OFF-ZHIANG_WALL_4_0_0,105.00,90.00,E
,OFF-ZHIANG_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.45,0.26,0.10,1.82,1.82,1.793,0.288,0.252,5.333,5.333,Yes,OFF-ZHIANG_WALL_8_0_0,105.00,90.00,E
,OFF-ZHIANG_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.65,0.21,0.05,0.90,0.90,1.793,0.288,0.252,5.333,5.333,No,OFF-ZHIANG_WALL_8_0_0,105.00,90.00,E
,OFF-NINA_WALL_2_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.02,0.21,0.00,1.23,1.23,1.793,0.288,0.252,5.333,0.000,Yes,OFF-NINA_WALL_2_0_0,105.00,90.00,E
,OFF-NINA_WALL_2_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.46,0.16,0.00,0.62,0.62,1.793,0.288,0.252,5.333,0.000,No,OFF-NINA_WALL_2_0_0,105.00,90.00,E
,OFF-NINA_WALL_2_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.99,0.21,0.00,1.20,1.20,1.793,0.288,0.252,5.333,0.000,No,OFF-NINA_WALL_2_0_0,105.00,90.00,E
,OFF-NINA_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.43,0.26,0.10,1.80,1.80,1.793,0.288,0.252,5.333,5.333,Yes,OFF-NINA_WALL_4_0_0,105.00,90.00,E
,OFF-NINA_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.65,0.21,0.05,0.90,0.90,1.793,0.288,0.252,5.333,5.333,No,OFF-NINA_WALL_4_0_0,105.00,90.00,E
,OFF-NINA_WALL_7_1_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.89,0.23,0.06,1.18,1.18,1.793,0.288,0.252,5.333,5.333,Yes,OFF-NINA_WALL_7_1_0,195.00,90.00,S
,OFF-NINA_WALL_9_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.99,0.22,0.10,1.31,1.31,1.793,0.288,0.252,5.333,5.333,Yes,OFF-NINA_WALL_9_0_0,195.00,90.00,S
,OFF-NINA_WALL_9_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.75,0.28,0.00,2.03,2.03,1.793,0.288,0.252,5.333,0.000,Yes,OFF-NINA_WALL_9_0_0,195.00,90.00,S
,OFF-NINA_WALL_11_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,2.39,0.34,0.32,3.05,3.05,1.793,0.288,0.252,5.333,5.333,Yes,OFF-NINA_WALL_11_0_0,195.00,90.00,S
,OFF-NINA_WALL_12_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.60,0.21,0.04,0.85,0.85,1.793,0.288,0.252,5.333,5.333,Yes,OFF-NINA_WALL_12_0_0,105.00,90.00,E
,OFF-NINA_WALL_12_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.02,0.21,0.00,1.23,1.23,1.793,0.288,0.252,5.333,0.000,Yes,OFF-NINA_WALL_12_0_0,105.00,90.00,E
,OFF-NINA_WALL_12_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.46,0.16,0.00,0.62,0.62,1.793,0.288,0.252,5.333,0.000,Yes,OFF-NINA_WALL_12_0_0,105.00,90.00,E
,OFF-VOLKER_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.64,0.28,0.10,2.02,2.02,1.793,0.288,0.252,5.333,5.333,Yes,OFF-VOLKER_WALL_4_0_0,285.00,90.00,W
,OFF-VOLKER_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.74,0.23,0.05,1.02,1.02,1.793,0.288,0.252,5.333,5.333,No,OFF-VOLKER_WALL_4_0_0,285.00,90.00,W
,OFF-VOLKER_WALL_6_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.79,0.20,0.10,1.09,1.09,1.793,0.288,0.252,5.333,5.333,No,OFF-VOLKER_WALL_6_0_0,285.00,90.00,W
,OFF-VOLKER_WALL_6_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,OFF-VOLKER_WALL_6_0_0,285.00,90.00,W
,OFF-VOLKER_WALL_6_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.37,0.15,0.05,0.56,0.56,1.793,0.288,0.252,5.333,5.333,No,OFF-VOLKER_WALL_6_0_0,285.00,90.00,W
,OFF-VOLKER_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.64,0.28,0.10,2.02,2.02,1.793,0.288,0.252,5.333,5.333,Yes,OFF-VOLKER_WALL_8_0_0,285.00,90.00,W
,OFF-VOLKER_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.74,0.23,0.05,1.02,1.02,1.793,0.288,0.252,5.333,5.333,No,OFF-VOLKER_WALL_8_0_0,285.00,90.00,W
,OFF-ERICA_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.64,0.28,0.10,2.02,2.02,1.793,0.288,0.252,5.333,5.333,Yes,OFF-ERICA_WALL_4_0_0,285.00,90.00,W
,OFF-ERICA_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.74,0.23,0.05,1.02,1.02,1.793,0.288,0.252,5.333,5.333,No,OFF-ERICA_WALL_4_0_0,285.00,90.00,W
,OFF-ERICA_WALL_6_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.79,0.20,0.10,1.09,1.09,1.793,0.288,0.252,5.333,5.333,No,OFF-ERICA_WALL_6_0_0,285.00,90.00,W
,OFF-ERICA_WALL_6_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,OFF-ERICA_WALL_6_0_0,285.00,90.00,W
,OFF-ERICA_WALL_6_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.42,0.15,0.00,0.56,0.56,1.793,0.288,0.252,5.333,0.000,No,OFF-ERICA_WALL_6_0_0,285.00,90.00,W
,OFF-ERICA_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.64,0.28,0.10,2.02,2.02,1.793,0.288,0.252,5.333,5.333,Yes,OFF-ERICA_WALL_8_0_0,285.00,90.00,W
,OFF-ERICA_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.74,0.23,0.05,1.02,1.02,1.793,0.288,0.252,5.333,5.333,No,OFF-ERICA_WALL_8_0_0,285.00,90.00,W
,OFF-JAMES_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.59,0.28,0.10,1.97,1.97,1.793,0.288,0.252,5.333,5.333,Yes,OFF-JAMES_WALL_4_0_0,285.00,90.00,W
,OFF-JAMES_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.72,0.22,0.05,0.99,0.99,1.793,0.288,0.252,5.333,5.333,No,OFF-JAMES_WALL_4_0_0,285.00,90.00,W
,OFF-JAMES_WALL_6_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.79,0.20,0.10,1.09,1.09,1.793,0.288,0.252,5.333,5.333,No,OFF-JAMES_WALL_6_0_0,285.00,90.00,W
,OFF-JAMES_WALL_6_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,OFF-JAMES_WALL_6_0_0,285.00,90.00,W
,OFF-JAMES_WALL_6_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.37,0.15,0.05,0.56,0.56,1.793,0.288,0.252,5.333,5.333,No,OFF-JAMES_WALL_6_0_0,285.00,90.00,W
,OFF-JAMES_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.59,0.28,0.10,1.97,1.97,1.793,0.288,0.252,5.333,5.333,Yes,OFF-JAMES_WALL_8_0_0,285.00,90.00,W
,OFF-JAMES_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.72,0.22,0.05,0.99,0.99,1.793,0.288,0.252,5.333,5.333,No,OFF-JAMES_WALL_8_0_0,285.00,90.00,W
,OFF-VIVIAN_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.53,0.27,0.10,1.91,1.91,1.793,0.288,0.252,5.333,5.333,Yes,OFF-VIVIAN_WALL_4_0_0,285.00,90.00,W
,OFF-VIVIAN_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.70,0.22,0.05,0.96,0.96,1.793,0.288,0.252,5.333,5.333,No,OFF-VIVIAN_WALL_4_0_0,285.00,90.00,W
,OFF-VIVIAN_WALL_6_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.79,0.20,0.10,1.09,1.09,1.793,0.288,0.252,5.333,5.333,No,OFF-VIVIAN_WALL_6_0_0,285.00,90.00,W
,OFF-VIVIAN_WALL_6_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,OFF-VIVIAN_WALL_6_0_0,285.00,90.00,W
,OFF-VIVIAN_WALL_6_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.37,0.15,0.05,0.56,0.56,1.793,0.288,0.252,5.333,5.333,No,OFF-VIVIAN_WALL_6_0_0,285.00,90.00,W
,OFF-VIVIAN_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.53,0.27,0.10,1.91,1.91,1.793,0.288,0.252,5.333,5.333,Yes,OFF-VIVIAN_WALL_8_0_0,285.00,90.00,W
,OFF-VIVIAN_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.74,0.22,0.00,0.96,0.96,1.793,0.288,0.252,5.333,0.000,No,OFF-VIVIAN_WALL_8_0_0,285.00,90.00,W
,OFF-CHENLU_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.53,0.27,0.10,1.91,1.91,1.793,0.288,0.252,5.333,5.333,Yes,OFF-CHENLU_WALL_4_0_0,285.00,90.00,W
,OFF-CHENLU_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.70,0.22,0.05,0.96,0.96,1.793,0.288,0.252,5.333,5.333,No,OFF-CHENLU_WALL_4_0_0,285.00,90.00,W
,OFF-CHENLU_WALL_6_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.79,0.20,0.10,1.09,1.09,1.793,0.288,0.252,5.333,5.333,No,OFF-CHENLU_WALL_6_0_0,285.00,90.00,W
,OFF-CHENLU_WALL_6_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,OFF-CHENLU_WALL_6_0_0,285.00,90.00,W
,OFF-CHENLU_WALL_6_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.37,0.15,0.05,0.56,0.56,1.793,0.288,0.252,5.333,5.333,No,OFF-CHENLU_WALL_6_0_0,285.00,90.00,W
,OFF-CHENLU_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.53,0.27,0.10,1.91,1.91,1.793,0.288,0.252,5.333,5.333,Yes,OFF-CHENLU_WALL_8_0_0,285.00,90.00,W
,OFF-CHENLU_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.70,0.22,0.05,0.96,0.96,1.793,0.288,0.252,5.333,5.333,No,OFF-CHENLU_WALL_8_0_0,285.00,90.00,W
,OFF-OMER_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.53,0.27,0.10,1.91,1.91,1.793,0.288,0.252,5.333,5.333,Yes,OFF-OMER_WALL_4_0_0,285.00,90.00,W
,OFF-OMER_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.70,0.22,0.05,0.96,0.96,1.793,0.288,0.252,5.333,5.333,No,OFF-OMER_WALL_4_0_0,285.00,90.00,W
,OFF-OMER_WALL_6_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.79,0.20,0.10,1.09,1.09,1.793,0.288,0.252,5.333,5.333,No,OFF-OMER_WALL_6_0_0,285.00,90.00,W
,OFF-OMER_WALL_6_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,OFF-OMER_WALL_6_0_0,285.00,90.00,W
,OFF-OMER_WALL_6_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.37,0.15,0.05,0.56,0.56,1.793,0.288,0.252,5.333,5.333,No,OFF-OMER_WALL_6_0_0,285.00,90.00,W
,OFF-OMER_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.53,0.27,0.10,1.91,1.91,1.793,0.288,0.252,5.333,5.333,Yes,OFF-OMER_WALL_8_0_0,285.00,90.00,W
,OFF-OMER_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.70,0.22,0.05,0.96,0.96,1.793,0.288,0.252,5.333,5.333,No,OFF-OMER_WALL_8_0_0,285.00,90.00,W
,SMALLCONF_WALL_4_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,1.64,0.28,0.10,2.02,2.02,1.793,0.288,0.252,5.333,5.333,Yes,SMALLCONF_WALL_4_0_0,285.00,90.00,W
,SMALLCONF_WALL_4_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.74,0.23,0.05,1.02,1.02,1.793,0.288,0.252,5.333,5.333,No,SMALLCONF_WALL_4_0_0,285.00,90.00,W
,SMALLCONF_WALL_6_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,SMALLCONF_WALL_6_0_0,285.00,90.00,W
,SMALLCONF_WALL_6_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.42,0.15,0.00,0.56,0.56,1.793,0.288,0.252,5.333,0.000,No,SMALLCONF_WALL_6_0_0,285.00,90.00,W
,SMALLCONF_WALL_8_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.60,0.21,0.04,0.85,0.85,1.793,0.288,0.252,5.333,5.333,No,SMALLCONF_WALL_8_0_0,285.00,90.00,W
,SMALLCONF_WALL_8_0_0_1_0_1_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.92,0.20,0.00,1.12,1.12,1.793,0.288,0.252,5.333,0.000,Yes,SMALLCONF_WALL_8_0_0,285.00,90.00,W
,SMALLCONF_WALL_8_0_0_2_0_2_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.42,0.15,0.00,0.56,0.56,1.793,0.288,0.252,5.333,0.000,No,SMALLCONF_WALL_8_0_0,285.00,90.00,W
,SMALLCONF_WALL_9_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,2.39,0.34,0.32,3.05,3.05,1.793,0.288,0.252,5.333,5.333,No,SMALLCONF_WALL_9_0_0,195.00,90.00,S
,SMALLCONF_WALL_11_0_0_0_0_0_WIN,LOWE_DOUBLE_LAYER_UIP0D43_100123456,0.99,0.22,0.10,1.31,1.31,1.793,0.288,0.252,5.333,5.333,No,SMALLCONF_WALL_11_0_0,195.00,90.00,S
